key,開催日,開催場,クラス,着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,通過,上り,単勝,人気,馬体重,賞金,芝ダート,距離,天候,馬場
202401010101,2024年07月20日,1回札幌1日目,2歳未勝利  (混)[指](馬齢),1,5,5,ポッドベイダー,牡2,55,佐々木大,1:08.8,,1-1,33.9,1.2,1,462(-2),550.0,芝,1200m,晴,良
202401010101,2024年07月20日,1回札幌1日目,2歳未勝利  (混)[指](馬齢),2,2,2,ニシノクードクール,牝2,55,武藤雅,1:09.1,1.3/4,2-2,34.1,10.2,4,452(-2),220.0,芝,1200m,晴,良
202401010101,2024年07月20日,1回札幌1日目,2歳未勝利  (混)[指](馬齢),3,3,3,ロードヴェルト,牡2,55,横山武史,1:09.4,1.3/4,3-3,34.0,7.9,3,416(+6),140.0,芝,1200m,晴,良
202401010101,2024年07月20日,1回札幌1日目,2歳未勝利  (混)[指](馬齢),4,1,1,ルージュアマリア,牝2,55,永野猛蔵,1:10.0,3.1/2,5-5,34.4,5.9,2,410(+6),83.0,芝,1200m,晴,良
202401010101,2024年07月20日,1回札幌1日目,2歳未勝利  (混)[指](馬齢),5,4,4,ロードヴァルカン,牡2,54,角田大河,1:10.1,クビ,3-3,34.7,21.3,5,438(-2),55.0,芝,1200m,晴,良
202401010102,2024年07月20日,1回札幌1日目,3歳未勝利  [指](馬齢),1,2,2,タミゼ,牝3,55,北村友一,0:59.5,,3-3,35.5,3.9,2,474(-2),550.0,ダ,1000m,晴,良
202401010102,2024年07月20日,1回札幌1日目,3歳未勝利  [指](馬齢),2,5,6,タマモアルタイル,牡3,57,武豊,1:00.0,3,5-3,35.9,9.4,6,494(+4),220.0,ダ,1000m,晴,良
202401010102,2024年07月20日,1回札幌1日目,3歳未勝利  [指](馬齢),3,6,8,ウィスピースノー,牝3,54,角田大河,1:00.1,クビ,8-8,35.3,44.4,9,434(0),140.0,ダ,1000m,晴,良
202401010102,2024年07月20日,1回札幌1日目,3歳未勝利  [指](馬齢),4,6,7,スキーサンダー,牝3,52,小林勝太,1:00.1,クビ,2-2,36.2,3.9,1,474(-2),83.0,ダ,1000m,晴,良
202401010102,2024年07月20日,1回札幌1日目,3歳未勝利  [指](馬齢),5,7,10,ゴールドタリスマン,牝3,55,武藤雅,1:00.2,クビ,6-6,35.8,90.0,10,424(+8),55.0,ダ,1000m,晴,良
202401010102,2024年07月20日,1回札幌1日目,3歳未勝利  [指](馬齢),6,3,3,コパマエチャン,牝3,52,長浜鴻緒,1:00.2,アタマ,1-1,36.4,16.0,8,476(0),,ダ,1000m,晴,良
202401010102,2024年07月20日,1回札幌1日目,3歳未勝利  [指](馬齢),7,4,4,スリーボビー,牡3,57,永野猛蔵,1:00.2,クビ,9-9,35.1,14.1,7,482(-4),,ダ,1000m,晴,良
202401010102,2024年07月20日,1回札幌1日目,3歳未勝利  [指](馬齢),8,8,12,メトゥス,牡3,57,佐々木大,1:00.4,1,6-6,36.0,6.1,4,458(+6),,ダ,1000m,晴,良
202401010102,2024年07月20日,1回札幌1日目,3歳未勝利  [指](馬齢),9,7,9,ブートストラップ,セ3,54,川端海翼,1:01.1,4,12-12,35.6,167.0,11,486(-6),,ダ,1000m,晴,良
202401010102,2024年07月20日,1回札幌1日目,3歳未勝利  [指](馬齢),10,8,11,クミンフレイバー,牝3,55,鮫島克駿,1:01.2,1/2,3-3,37.2,8.2,5,438(+4),,ダ,1000m,晴,良
202401010102,2024年07月20日,1回札幌1日目,3歳未勝利  [指](馬齢),11,1,1,ロマンスヒコー,牡3,57,大野拓弥,1:01.4,1.1/4,9-9,36.3,172.5,12,444(-8),,ダ,1000m,晴,良
202401010102,2024年07月20日,1回札幌1日目,3歳未勝利  [指](馬齢),12,5,5,タイセイフォルテ,牡3,57,横山武史,1:01.8,2.1/2,11-11,36.5,5.7,3,486(0),,ダ,1000m,晴,良
202401010103,2024年07月20日,1回札幌1日目,3歳未勝利  [指](馬齢),1,3,4,メイショウソムリエ,牡3,57,武豊,1:46.9,,3-3-3-2,38.5,3.6,2,522(+14),550.0,ダ,1700m,晴,良
202401010103,2024年07月20日,1回札幌1日目,3歳未勝利  [指](馬齢),2,5,7,リアルペガサス,牡3,57,菱田裕二,1:47.6,4,10-10-8-7,38.6,10.0,6,456(0),220.0,ダ,1700m,晴,良
202401010103,2024年07月20日,1回札幌1日目,3歳未勝利  [指](馬齢),3,4,6,クラウンクーロン,牡3,57,丹内祐次,1:47.8,1.1/4,1-1-1-1,39.7,6.8,4,442(-6),140.0,ダ,1700m,晴,良
202401010103,2024年07月20日,1回札幌1日目,3歳未勝利  [指](馬齢),4,3,3,エナアニマル,牡3,57,横山和生,1:47.8,アタマ,12-12-10-9,38.5,9.7,5,450(+8),83.0,ダ,1700m,晴,良
202401010103,2024年07月20日,1回札幌1日目,3歳未勝利  [指](馬齢),5,1,1,ハテナビト,牡3,54,長浜鴻緒,1:48.1,1.3/4,6-6-6-5,39.2,31.9,7,462(-4),55.0,ダ,1700m,晴,良
202401010103,2024年07月20日,1回札幌1日目,3歳未勝利  [指](馬齢),6,6,9,ポップスター,牡3,57,武藤雅,1:48.3,1.1/4,14-14-14-14,38.1,214.5,12,510(-10),,ダ,1700m,晴,良
202401010103,2024年07月20日,1回札幌1日目,3歳未勝利  [指](馬齢),7,8,14,ナムラミック,牡3,57,鮫島克駿,1:48.7,2,8-9-6-7,39.9,106.0,10,484(+4),,ダ,1700m,晴,良
202401010103,2024年07月20日,1回札幌1日目,3歳未勝利  [指](馬齢),8,4,5,ニースライト,牝3,55,柴田善臣,1:48.7,クビ,10-10-10-10,39.3,80.5,9,472(-4),,ダ,1700m,晴,良
202401010103,2024年07月20日,1回札幌1日目,3歳未勝利  [指](馬齢),9,2,2,ワカミヤノミコト,牡3,54,小林勝太,1:48.8,3/4,12-13-13-11,39.0,257.8,13,472(0),,ダ,1700m,晴,良
202401010103,2024年07月20日,1回札幌1日目,3歳未勝利  [指](馬齢),10,5,8,スターゲット,牡3,57,横山武史,1:49.3,3,2-2-2-2,41.1,2.5,1,458(0),,ダ,1700m,晴,良
202401010103,2024年07月20日,1回札幌1日目,3歳未勝利  [指](馬齢),11,7,11,プラチナバンド,牡3,57,永野猛蔵,1:49.4,1/2,3-3-5-5,40.9,59.8,8,506(-2),,ダ,1700m,晴,良
202401010103,2024年07月20日,1回札幌1日目,3歳未勝利  [指](馬齢),12,8,13,クリノアイリス,牝3,55,古川吉洋,1:49.5,3/4,9-8-10-12,40.2,333.6,14,444(-12),,ダ,1700m,晴,良
202401010103,2024年07月20日,1回札幌1日目,3歳未勝利  [指](馬齢),13,6,10,アオレレ,牡3,57,佐々木大,1:50.2,4,6-6-9-12,41.1,140.2,11,430(-2),,ダ,1700m,晴,良
202401010103,2024年07月20日,1回札幌1日目,3歳未勝利  [指](馬齢),14,7,12,ミッキースターダム,牡3,57,浜中俊,1:50.4,3/4,3-5-3-4,42.0,6.8,3,450(-6),,ダ,1700m,晴,良
202401010104,2024年07月20日,1回札幌1日目,3歳未勝利  牝[指](馬齢),1,5,8,アリーバ,牝3,55,浜中俊,1:28.6,,10-10-4,34.4,5.0,4,424(+6),550.0,芝,1500m,晴,良
202401010104,2024年07月20日,1回札幌1日目,3歳未勝利  牝[指](馬齢),2,3,4,カーモス,牝3,52,長浜鴻緒,1:28.6,クビ,2-2-2,34.9,40.4,11,428(+2),220.0,芝,1500m,晴,良
202401010104,2024年07月20日,1回札幌1日目,3歳未勝利  牝[指](馬齢),3,6,10,ユメカウツツカ,牝3,52,小林勝太,1:28.7,1/2,11-13-7,34.3,28.2,9,392(+10),140.0,芝,1500m,晴,良
202401010104,2024年07月20日,1回札幌1日目,3歳未勝利  牝[指](馬齢),4,4,5,アウストラリス,牝3,54,角田大河,1:28.9,1.1/4,5-4-4,35.1,22.8,8,422(-4),83.0,芝,1500m,晴,良
202401010104,2024年07月20日,1回札幌1日目,3歳未勝利  牝[指](馬齢),5,4,6,ツキガキレイデスネ,牝3,55,永野猛蔵,1:29.0,1/2,11-11-12,34.7,18.2,7,456(+4),55.0,芝,1500m,晴,良
202401010104,2024年07月20日,1回札幌1日目,3歳未勝利  牝[指](馬齢),6,8,14,ディアアリーチェ,牝3,55,鮫島克駿,1:29.1,1/2,5-7-10,35.0,4.3,1,450(-4),,芝,1500m,晴,良
202401010104,2024年07月20日,1回札幌1日目,3歳未勝利  牝[指](馬齢),7,5,7,タイプフェイス,牝3,55,大野拓弥,1:29.1,ハナ,13-11-12,34.8,39.3,10,442(+8),,芝,1500m,晴,良
202401010104,2024年07月20日,1回札幌1日目,3歳未勝利  牝[指](馬齢),8,6,9,カウネウス,牝3,55,丹内祐次,1:29.1,ハナ,14-14-12,34.5,18.2,6,446(+2),,芝,1500m,晴,良
202401010104,2024年07月20日,1回札幌1日目,3歳未勝利  牝[指](馬齢),9,7,11,セントオブシン,牝3,55,亀田温心,1:29.2,クビ,8-7-7,35.2,53.5,12,426(-4),,芝,1500m,晴,良
202401010104,2024年07月20日,1回札幌1日目,3歳未勝利  牝[指](馬齢),10,8,13,ラーリア,牝3,55,横山武史,1:29.2,アタマ,4-4-4,35.4,4.8,3,396(-6),,芝,1500m,晴,良
202401010104,2024年07月20日,1回札幌1日目,3歳未勝利  牝[指](馬齢),11,2,2,チャルドーニ,牝3,55,富田暁,1:29.3,3/4,2-2-2,35.7,4.4,2,464(-2),,芝,1500m,晴,良
202401010104,2024年07月20日,1回札幌1日目,3歳未勝利  牝[指](馬齢),12,7,12,ウーロン,牝3,55,横山和生,1:29.8,3,1-1-1,36.3,8.5,5,480(+10),,芝,1500m,晴,良
202401010104,2024年07月20日,1回札幌1日目,3歳未勝利  牝[指](馬齢),13,3,3,シャイニーマンボ,牝3,52,川端海翼,1:29.9,クビ,8-7-10,35.9,166.7,14,470(+22),,芝,1500m,晴,良
202401010104,2024年07月20日,1回札幌1日目,3歳未勝利  牝[指](馬齢),14,1,1,アオイフォール,牝3,55,小林凌大,1:31.1,7,5-4-7,37.3,104.7,13,454(-4),,芝,1500m,晴,良
202401010105,2024年07月20日,1回札幌1日目,2歳新馬  (混)[指](馬齢),1,3,4,ナチュラルライズ,牡2,55,横山武史,1:45.7,,4-4-4-2,36.9,3.0,1,476(0),720.0,ダ,1700m,晴,良
202401010105,2024年07月20日,1回札幌1日目,2歳新馬  (混)[指](馬齢),2,6,10,ベルベルコンパス,牡2,55,北村友一,1:46.7,6,1-1-1-1,38.3,5.3,3,522(0),290.0,ダ,1700m,晴,良
202401010105,2024年07月20日,1回札幌1日目,2歳新馬  (混)[指](馬齢),3,1,1,ジーティートゥルー,牡2,55,大野拓弥,1:49.0,大,9-10-10-7,39.0,21.5,8,452(0),180.0,ダ,1700m,晴,良
202401010105,2024年07月20日,1回札幌1日目,2歳新馬  (混)[指](馬齢),4,2,2,ソラノキャンバス,牡2,52,長浜鴻緒,1:49.0,クビ,11-11-10-8,39.0,46.3,10,430(0),110.0,ダ,1700m,晴,良
202401010105,2024年07月20日,1回札幌1日目,2歳新馬  (混)[指](馬齢),5,4,5,アローオブライト,牡2,55,藤岡佑介,1:49.3,1.1/2,14-14-12-10,39.1,14.4,7,468(0),72.0,ダ,1700m,晴,良
202401010105,2024年07月20日,1回札幌1日目,2歳新馬  (混)[指](馬齢),6,4,6,モレポブラーノ,牡2,55,鮫島克駿,1:49.5,1.1/2,2-2-2-3,41.0,9.2,5,516(0),,ダ,1700m,晴,良
202401010105,2024年07月20日,1回札幌1日目,2歳新馬  (混)[指](馬齢),7,6,9,ハヤテノツバサ,牡2,55,永野猛蔵,1:49.9,2.1/2,7-6-7-6,40.6,11.6,6,496(0),,ダ,1700m,晴,良
202401010105,2024年07月20日,1回札幌1日目,2歳新馬  (混)[指](馬齢),8,5,7,ヴァカンツァ,牝2,54,角田大河,1:50.3,2,9-8-5-5,41.3,66.7,12,480(0),,ダ,1700m,晴,良
202401010105,2024年07月20日,1回札幌1日目,2歳新馬  (混)[指](馬齢),9,8,13,イフウドウドウ,牡2,55,武豊,1:50.5,1.1/2,2-2-2-4,41.9,5.3,2,516(0),,ダ,1700m,晴,良
202401010105,2024年07月20日,1回札幌1日目,2歳新馬  (混)[指](馬齢),10,7,11,プライベートアイズ,牡2,55,横山和生,1:50.9,2.1/2,6-4-5-8,41.8,7.4,4,496(0),,ダ,1700m,晴,良
202401010105,2024年07月20日,1回札幌1日目,2歳新馬  (混)[指](馬齢),11,7,12,コパノキュラソー,牡2,55,古川吉洋,1:51.0,クビ,8-8-8-10,41.4,136.6,14,508(0),,ダ,1700m,晴,良
202401010105,2024年07月20日,1回札幌1日目,2歳新馬  (混)[指](馬齢),12,8,14,キタノチャンス,牝2,55,黛弘人,1:52.6,10,13-12-12-12,42.4,133.0,13,472(0),,ダ,1700m,晴,良
202401010105,2024年07月20日,1回札幌1日目,2歳新馬  (混)[指](馬齢),13,5,8,ガストフロント,牡2,55,武藤雅,1:53.4,5,4-6-9-13,43.5,51.3,11,442(0),,ダ,1700m,晴,良
202401010105,2024年07月20日,1回札幌1日目,2歳新馬  (混)[指](馬齢),14,3,3,ガイラルディア,牝2,55,池添謙一,1:55.5,大,12-13-14-14,43.9,36.4,9,456(0),,ダ,1700m,晴,良
202401010106,2024年07月20日,1回札幌1日目,3歳未勝利  (混)[指](馬齢),1,7,12,オメガインペリアル,牡3,57,藤岡佑介,1:48.7,,2-3-4-5,35.1,2.3,1,460(+4),550.0,芝,1800m,晴,良
202401010106,2024年07月20日,1回札幌1日目,3歳未勝利  (混)[指](馬齢),2,1,1,マイネルバーテクス,牡3,57,丹内祐次,1:49.0,2,7-7-6-7,35.2,4.9,2,484(-14),220.0,芝,1800m,晴,良
202401010106,2024年07月20日,1回札幌1日目,3歳未勝利  (混)[指](馬齢),3,4,5,サトノアライヴ,牡3,57,佐々木大,1:49.1,クビ,13-14-10-7,35.1,32.6,9,436(0),140.0,芝,1800m,晴,良
202401010106,2024年07月20日,1回札幌1日目,3歳未勝利  (混)[指](馬齢),4,2,2,モズイージス,牡3,57,岩田康誠,1:49.3,1.1/4,4-5-6-7,35.6,10.1,4,462(-2),83.0,芝,1800m,晴,良
202401010106,2024年07月20日,1回札幌1日目,3歳未勝利  (混)[指](馬齢),5,6,9,マリエッティ,牝3,52,川端海翼,1:49.4,1/2,4-3-2-1,36.1,14.1,7,424(+8),55.0,芝,1800m,晴,良
202401010106,2024年07月20日,1回札幌1日目,3歳未勝利  (混)[指](馬齢),6,4,6,テイクノーティス,牡3,57,横山和生,1:49.5,1/2,13-12-6-5,35.8,10.4,5,446(+6),,芝,1800m,晴,良
202401010106,2024年07月20日,1回札幌1日目,3歳未勝利  (混)[指](馬齢),7,8,14,ゴールデンスロープ,牡3,54,長浜鴻緒,1:49.5,クビ,2-2-2-2,36.2,59.2,10,428(-2),,芝,1800m,晴,良
202401010106,2024年07月20日,1回札幌1日目,3歳未勝利  (混)[指](馬齢),8,5,7,キングブルー,牡3,57,菱田裕二,1:49.6,1/2,6-5-6-7,35.8,21.0,8,480(0),,芝,1800m,晴,良
202401010106,2024年07月20日,1回札幌1日目,3歳未勝利  (混)[指](馬齢),9,3,3,グローリアミノル,牡3,57,大野拓弥,1:49.7,1/2,11-9-4-2,36.1,6.8,3,456(-4),,芝,1800m,晴,良
202401010106,2024年07月20日,1回札幌1日目,3歳未勝利  (混)[指](馬齢),10,6,10,アイビーブリッツ,牡3,56,角田大河,1:50.0,1.1/2,9-9-10-11,35.9,10.9,6,444(0),,芝,1800m,晴,良
202401010106,2024年07月20日,1回札幌1日目,3歳未勝利  (混)[指](馬齢),11,5,8,グランドフューチャ,牡3,54,小林勝太,1:50.6,3.1/2,7-7-10-11,36.6,152.9,12,470(0),,芝,1800m,晴,良
202401010106,2024年07月20日,1回札幌1日目,3歳未勝利  (混)[指](馬齢),12,3,4,ライムストリート,牡3,57,古川吉洋,1:50.8,1.1/2,11-12-14-14,36.4,312.1,14,474(-12),,芝,1800m,晴,良
202401010106,2024年07月20日,1回札幌1日目,3歳未勝利  (混)[指](馬齢),13,8,13,ダンツタロン,牡3,57,柴田善臣,1:51.4,3.1/2,1-1-1-2,38.1,143.7,11,482(-4),,芝,1800m,晴,良
202401010106,2024年07月20日,1回札幌1日目,3歳未勝利  (混)[指](馬齢),14,7,11,クリノタンザナイト,牡3,57,亀田温心,1:51.5,1/2,10-9-10-13,37.5,244.8,13,458(+2),,芝,1800m,晴,良
202401010107,2024年07月20日,1回札幌1日目,3歳以上1勝クラス  [指](定量),1,3,3,バシレウスシチー,牡5,58,菱田裕二,1:08.7,,5-4,34.6,5.2,4,446(-6),800.0,芝,1200m,晴,良
202401010107,2024年07月20日,1回札幌1日目,3歳以上1勝クラス  [指](定量),2,7,8,ハレアカラフラ,牝4,56,武豊,1:08.8,1/2,1-1,35.3,4.8,3,478(+20),320.0,芝,1200m,晴,良
202401010107,2024年07月20日,1回札幌1日目,3歳以上1勝クラス  [指](定量),3,4,4,ソングフォーユー,牝5,56,大野拓弥,1:09.0,1.1/4,3-4,35.2,17.4,6,462(+2),200.0,芝,1200m,晴,良
202401010107,2024年07月20日,1回札幌1日目,3歳以上1勝クラス  [指](定量),4,8,10,アポロルタ,牝5,53,小林勝太,1:09.1,3/4,10-11,34.6,29.2,10,450(-2),120.0,芝,1200m,晴,良
202401010107,2024年07月20日,1回札幌1日目,3歳以上1勝クラス  [指](定量),5,6,6,シアター,牝3,53,鮫島克駿,1:09.1,クビ,7-6,34.8,3.5,1,432(0),80.0,芝,1200m,晴,良
202401010107,2024年07月20日,1回札幌1日目,3歳以上1勝クラス  [指](定量),6,2,2,ゴルデールスカー,牡4,58,池添謙一,1:09.2,3/4,11-9,34.6,104.4,11,468(-4),,芝,1200m,晴,良
202401010107,2024年07月20日,1回札幌1日目,3歳以上1勝クラス  [指](定量),7,6,7,セイウンサニー,牝3,53,永野猛蔵,1:09.2,ハナ,7-6,34.9,18.4,7,448(-4),,芝,1200m,晴,良
202401010107,2024年07月20日,1回札幌1日目,3歳以上1勝クラス  [指](定量),8,1,1,サンポーニャ,牝4,53,長浜鴻緒,1:09.3,クビ,5-6,35.2,4.5,2,450(+16),,芝,1200m,晴,良
202401010107,2024年07月20日,1回札幌1日目,3歳以上1勝クラス  [指](定量),9,5,5,ペプチドシュチク,牡3,55,富田暁,1:09.3,クビ,2-2,35.6,9.1,5,488(+4),,芝,1200m,晴,良
202401010107,2024年07月20日,1回札幌1日目,3歳以上1勝クラス  [指](定量),10,8,11,シルバーダイヤ,牝4,55,角田大河,1:09.4,クビ,3-2,35.6,21.3,8,454(-4),,芝,1200m,晴,良
202401010107,2024年07月20日,1回札幌1日目,3歳以上1勝クラス  [指](定量),11,7,9,セイウンティーダ,牝3,53,丹内祐次,1:09.6,1.1/4,7-9,35.2,22.8,9,430(+14),,芝,1200m,晴,良
202401010108,2024年07月20日,1回札幌1日目,3歳以上1勝クラス  牝[指](定量),1,8,8,リフレクトザムーン,牝3,50,小林勝太,1:46.5,,2-3-2-1,39.1,6.8,4,446(-12),800.0,ダ,1700m,晴,良
202401010108,2024年07月20日,1回札幌1日目,3歳以上1勝クラス  牝[指](定量),2,7,7,フェルンマンボ,牝5,56,横山武史,1:46.8,2,6-6-6-5,39.0,3.7,3,474(+4),320.0,ダ,1700m,晴,良
202401010108,2024年07月20日,1回札幌1日目,3歳以上1勝クラス  牝[指](定量),3,6,6,イッツオンリーユー,牝4,56,佐々木大,1:46.9,クビ,4-4-4-4,39.4,3.5,2,474(0),200.0,ダ,1700m,晴,良
202401010108,2024年07月20日,1回札幌1日目,3歳以上1勝クラス  牝[指](定量),4,2,2,タマモプルメリア,牝3,52,角田大河,1:47.8,5,2-2-1-2,40.5,2.6,1,450(-4),120.0,ダ,1700m,晴,良
202401010108,2024年07月20日,1回札幌1日目,3歳以上1勝クラス  牝[指](定量),5,5,5,ドレミファニー,牝4,56,横山和生,1:48.3,3,7-7-4-2,40.8,18.8,6,512(+12),80.0,ダ,1700m,晴,良
202401010108,2024年07月20日,1回札幌1日目,3歳以上1勝クラス  牝[指](定量),6,8,9,チョッピー,牝5,56,永野猛蔵,1:48.4,1/2,9-9-7-6,40.5,28.8,7,470(+4),,ダ,1700m,晴,良
202401010108,2024年07月20日,1回札幌1日目,3歳以上1勝クラス  牝[指](定量),7,4,4,シュライフェ,牝4,56,黛弘人,1:49.7,8,7-7-9-8,41.3,87.9,9,498(+12),,ダ,1700m,晴,良
202401010108,2024年07月20日,1回札幌1日目,3歳以上1勝クラス  牝[指](定量),8,1,1,ポマール,牝3,53,丹内祐次,1:50.2,3,1-1-2-7,42.8,39.6,8,452(+4),,ダ,1700m,晴,良
202401010108,2024年07月20日,1回札幌1日目,3歳以上1勝クラス  牝[指](定量),9,3,3,アイスリンディ,牝3,53,亀田温心,1:51.7,9,4-4-8-9,43.6,17.7,5,446(-8),,ダ,1700m,晴,良
202401010109,2024年07月20日,1回札幌1日目,3歳以上1勝クラス  (混)[指](定量),1,5,5,ミヤビブレイブ,牝4,56,横山和生,1:47.4,,10-10-1-1,35.4,17.1,6,468(-4),"1,135.9",芝,1800m,晴,良
202401010109,2024年07月20日,1回札幌1日目,3歳以上1勝クラス  (混)[指](定量),2,7,8,セイウンパシュート,牡4,58,永野猛蔵,1:47.6,1.1/4,5-5-5-6,35.1,5.0,3,470(-4),447.4,芝,1800m,晴,良
202401010109,2024年07月20日,1回札幌1日目,3歳以上1勝クラス  (混)[指](定量),3,6,6,アドミラルシップ,牡3,55,武豊,1:47.7,クビ,2-2-2-2,35.6,2.7,1,472(+12),283.7,芝,1800m,晴,良
202401010109,2024年07月20日,1回札幌1日目,3歳以上1勝クラス  (混)[指](定量),4,2,2,マイバラード,牡4,58,丹内祐次,1:47.9,1.1/2,8-8-8-6,35.2,22.4,7,468(0),170.0,芝,1800m,晴,良
202401010109,2024年07月20日,1回札幌1日目,3歳以上1勝クラス  (混)[指](定量),5,8,9,スノーブリザード,牡3,55,鮫島克駿,1:48.2,1.3/4,1-1-3-3,36.0,49.0,8,494(-6),111.0,芝,1800m,晴,良
202401010109,2024年07月20日,1回札幌1日目,3歳以上1勝クラス  (混)[指](定量),6,1,1,バロックダンス,牝4,56,大野拓弥,1:48.2,ハナ,5-7-8-8,35.5,81.2,9,472(+3),,芝,1800m,晴,良
202401010109,2024年07月20日,1回札幌1日目,3歳以上1勝クラス  (混)[指](定量),7,7,7,ユイノオトコヤマ,牡4,58,黛弘人,1:48.3,3/4,9-8-5-3,35.8,138.2,10,470(0),,芝,1800m,晴,良
202401010109,2024年07月20日,1回札幌1日目,3歳以上1勝クラス  (混)[指](定量),8,3,3,ヴァルドルチャ,牡3,55,北村友一,1:48.9,3.1/2,5-5-8-9,36.2,7.8,5,446(0),,芝,1800m,晴,良
202401010109,2024年07月20日,1回札幌1日目,3歳以上1勝クラス  (混)[指](定量),9,8,10,シルバーカレッジ,牡3,55,浜中俊,1:48.9,アタマ,4-3-3-3,36.6,7.6,4,494(-6),,芝,1800m,晴,良
202401010109,2024年07月20日,1回札幌1日目,3歳以上1勝クラス  (混)[指](定量),10,4,4,ブルーアイドガール,牝3,53,藤岡佑介,2:00.2,大,2-3-5-10,47.7,3.5,2,442(+2),,芝,1800m,晴,良
202401010110,2024年07月20日,1回札幌1日目,3歳以上2勝クラス  (混)(特指)(定量),1,3,3,ナックイルシーブ,牡6,58,大野拓弥,1:59.6,,6-5-5-4,35.4,18.2,6,516(0),"1,578.0",芝,2000m,晴,良
202401010110,2024年07月20日,1回札幌1日目,3歳以上2勝クラス  (混)(特指)(定量),2,6,9,ブラックヴァール,牝4,56,横山和生,1:59.6,アタマ,3-3-2-3,35.7,5.4,4,450(-6),628.0,芝,2000m,晴,良
202401010110,2024年07月20日,1回札幌1日目,3歳以上2勝クラス  (混)(特指)(定量),3,8,12,ギャンブルルーム,牡3,55,鮫島克駿,1:59.7,1/2,8-8-7-7,35.2,4.3,2,496(+10),394.0,芝,2000m,晴,良
202401010110,2024年07月20日,1回札幌1日目,3歳以上2勝クラス  (混)(特指)(定量),4,8,13,ドラゴンヘッド,牡4,58,武藤雅,1:59.7,ハナ,10-10-11-10,34.9,22.3,7,452(+6),230.0,芝,2000m,晴,良
202401010110,2024年07月20日,1回札幌1日目,3歳以上2勝クラス  (混)(特指)(定量),5,7,10,シャドウソニック,牡4,58,北村友一,1:59.9,1.1/2,13-12-12-11,35.0,51.2,8,494(-14),155.0,芝,2000m,晴,良
202401010110,2024年07月20日,1回札幌1日目,3歳以上2勝クラス  (混)(特指)(定量),6,1,1,リミットバスター,牡4,58,横山武史,1:59.9,ハナ,4-5-5-4,35.7,4.4,3,512(+4),,芝,2000m,晴,良
202401010110,2024年07月20日,1回札幌1日目,3歳以上2勝クラス  (混)(特指)(定量),7,2,2,マイノワール,牡3,55,武豊,2:00.0,1/2,11-11-10-8,35.3,3.1,1,478(-6),,芝,2000m,晴,良
202401010110,2024年07月20日,1回札幌1日目,3歳以上2勝クラス  (混)(特指)(定量),8,5,7,ホウオウプレミア,牡5,58,岩田康誠,2:00.0,ハナ,2-2-2-2,36.1,9.5,5,480(-8),,芝,2000m,晴,良
202401010110,2024年07月20日,1回札幌1日目,3歳以上2勝クラス  (混)(特指)(定量),9,6,8,タイラーテソーロ,牡5,58,丹内祐次,2:00.2,1,12-13-13-13,35.0,102.9,13,474(0),,芝,2000m,晴,良
202401010110,2024年07月20日,1回札幌1日目,3歳以上2勝クラス  (混)(特指)(定量),10,7,11,キングロコマイカイ,牡5,58,角田大河,2:00.6,2.1/2,9-8-7-8,36.1,63.4,11,508(+14),,芝,2000m,晴,良
202401010110,2024年07月20日,1回札幌1日目,3歳以上2勝クラス  (混)(特指)(定量),11,4,4,バンフィエルド,牡5,58,佐々木大,2:01.3,4,6-7-7-11,36.9,73.3,12,430(-4),,芝,2000m,晴,良
202401010110,2024年07月20日,1回札幌1日目,3歳以上2勝クラス  (混)(特指)(定量),12,4,5,スプリングノヴァ,牝3,53,亀田温心,2:01.6,1.3/4,4-3-4-6,37.6,60.7,9,402(-4),,芝,2000m,晴,良
202401010110,2024年07月20日,1回札幌1日目,3歳以上2勝クラス  (混)(特指)(定量),13,5,6,アナレンマ,セ6,58,菱田裕二,2:01.6,ハナ,1-1-1-1,38.8,63.3,10,448(-4),,芝,2000m,晴,良
202401010111,2024年07月20日,1回札幌1日目,3歳以上3勝クラス  (混)(特指)(定量),1,8,16,エイシンフェンサー,牝4,56,川又賢治,1:08.3,,6-4,33.9,4.5,1,476(-4),"1,873.6",芝,1200m,晴,良
202401010111,2024年07月20日,1回札幌1日目,3歳以上3勝クラス  (混)(特指)(定量),2,8,15,マイネルレノン,牡5,58,丹内祐次,1:08.4,1/2,3-2,34.3,22.4,10,474(-12),749.6,芝,1200m,晴,良
202401010111,2024年07月20日,1回札幌1日目,3歳以上3勝クラス  (混)(特指)(定量),3,1,1,ブッシュガーデン,牝5,56,富田暁,1:08.4,アタマ,1-1,34.5,10.9,7,466(+4),464.8,芝,1200m,晴,良
202401010111,2024年07月20日,1回札幌1日目,3歳以上3勝クラス  (混)(特指)(定量),4,7,14,ラキエータ,牝5,56,武豊,1:08.5,1/2,8-7,33.9,16.3,8,426(-6),280.0,芝,1200m,晴,良
202401010111,2024年07月20日,1回札幌1日目,3歳以上3勝クラス  (混)(特指)(定量),5,2,3,トーセンサンダー,牡5,58,大野拓弥,1:08.5,アタマ,6-7,34.0,8.2,4,480(0),184.0,芝,1200m,晴,良
202401010111,2024年07月20日,1回札幌1日目,3歳以上3勝クラス  (混)(特指)(定量),6,6,11,オードゥメール,牝5,56,藤岡佑介,1:08.5,クビ,8-9,33.8,9.2,5,480(-2),,芝,1200m,晴,良
