key,開催日,開催場,クラス,着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,通過,上り,単勝,人気,馬体重,賞金,芝ダート,距離,天候,馬場
202109040401,2021年10月17日,4回阪神4日目,2歳未勝利   (馬齢),1,3,3,バルムンク,牡2,55,岩田望来,1:26.3,,2-1,39.1,6.3,3,516(+2),510.0,ダ,1400m,晴,稍重
202109040401,2021年10月17日,4回阪神4日目,2歳未勝利   (馬齢),2,6,7,メイショウアジロ,牡2,55,和田竜二,1:26.6,2,5-2,39.3,6.2,2,470(+6),200.0,ダ,1400m,晴,稍重
202109040401,2021年10月17日,4回阪神4日目,2歳未勝利   (馬齢),3,2,2,ヴァレッタカズマ,牡2,55,川田将雅,1:26.7,1/2,5-5,39.3,1.5,1,496(-2),130.0,ダ,1400m,晴,稍重
202109040401,2021年10月17日,4回阪神4日目,2歳未勝利   (馬齢),4,5,5,ストームゾーン,牡2,55,松山弘平,1:27.4,4,1-2,40.3,9.3,4,506(+6),77.0,ダ,1400m,晴,稍重
202109040401,2021年10月17日,4回阪神4日目,2歳未勝利   (馬齢),5,6,6,テイエムキバイモン,牡2,55,藤懸貴志,1:27.6,1,5-4,40.2,78.5,8,470(+2),51.0,ダ,1400m,晴,稍重
202109040401,2021年10月17日,4回阪神4日目,2歳未勝利   (馬齢),6,7,9,オーシンプラス,牡2,52,角田大和,1:28.7,7,3-5,41.3,69.2,7,464(+2),,ダ,1400m,晴,稍重
202109040401,2021年10月17日,4回阪神4日目,2歳未勝利   (馬齢),7,1,1,ディパッセ,牡2,55,池添謙一,1:29.0,1.3/4,4-5,41.6,20.8,6,478(0),,ダ,1400m,晴,稍重
202109040401,2021年10月17日,4回阪神4日目,2歳未勝利   (馬齢),8,4,4,ハクアイボリイ,牡2,55,古川吉洋,1:29.1,1/2,8-8,41.2,200.4,10,468(0),,ダ,1400m,晴,稍重
202109040401,2021年10月17日,4回阪神4日目,2歳未勝利   (馬齢),9,7,8,マーゴットワーズ,牡2,51,古川奈穂,1:29.1,クビ,11-11,39.7,19.0,5,460(-10),,ダ,1400m,晴,稍重
202109040401,2021年10月17日,4回阪神4日目,2歳未勝利   (馬齢),10,8,10,プライムアクター,牡2,55,国分優作,1:30.1,6,8-8,42.2,165.1,9,492(-10),,ダ,1400m,晴,稍重
202109040401,2021年10月17日,4回阪神4日目,2歳未勝利   (馬齢),11,8,11,タマワープスピード,牡2,52,西谷凜,1:31.8,10,10-10,43.4,304.8,11,468(+6),,ダ,1400m,晴,稍重
202109040402,2021年10月17日,4回阪神4日目,2歳未勝利  牝(馬齢),1,5,5,ベルマーレミノル,牝2,54,吉田隼人,1:13.0,,4-6,36.6,10.6,4,486(-12),510.0,ダ,1200m,晴,稍重
202109040402,2021年10月17日,4回阪神4日目,2歳未勝利  牝(馬齢),2,2,2,カラフルキューブ,牝2,54,川田将雅,1:13.3,1.3/4,4-3,37.0,2.5,1,464(+8),200.0,ダ,1200m,晴,稍重
202109040402,2021年10月17日,4回阪神4日目,2歳未勝利  牝(馬齢),3,7,9,コパノリンダ,牝2,51,西谷凜,1:13.5,1.1/4,8-7,36.9,7.9,3,442(-2),130.0,ダ,1200m,晴,稍重
202109040402,2021年10月17日,4回阪神4日目,2歳未勝利  牝(馬齢),4,6,7,ラニカイ,牝2,54,武豊,1:13.5,クビ,4-3,37.1,3.2,2,472(+6),77.0,ダ,1200m,晴,稍重
