key,開催日,開催場,開催回,クラス,クラス特徴,着順,枠番,馬番,馬名,性,年齢,斤量,騎手,タイム,着差,通過,上り,単勝,人気,馬体重,賞金,芝ダート,距離,天候,馬場
202401010102,2024年07月20日,札幌,1回1日目,3歳未勝利,[指](馬齢),6,3,3,コパマエチャン,牝,3,52.0,長浜鴻緒,1:00.2,アタマ,1-1,36.4,16.0,8.0,476(0),,ダ,1000m,晴,良
202401010102,2024年07月20日,札幌,1回1日目,3歳未勝利,[指](馬齢),7,4,4,スリーボビー,牡,3,57.0,永野猛蔵,1:00.2,クビ,9-9,35.1,14.1,7.0,482(-4),,ダ,1000m,晴,良
202401010102,2024年07月20日,札幌,1回1日目,3歳未勝利,[指](馬齢),8,8,12,メトゥス,牡,3,57.0,佐々木大,1:00.4,1,6-6,36.0,6.1,4.0,458(+6),,ダ,1000m,晴,良
202401010102,2024年07月20日,札幌,1回1日目,3歳未勝利,[指](馬齢),9,7,9,ブートストラップ,セ,3,54.0,川端海翼,1:01.1,4,12-12,35.6,167.0,11.0,486(-6),,ダ,1000m,晴,良
202401010102,2024年07月20日,札幌,1回1日目,3歳未勝利,[指](馬齢),10,8,11,クミンフレイバー,牝,3,55.0,鮫島克駿,1:01.2,1/2,3-3,37.2,8.2,5.0,438(+4),,ダ,1000m,晴,良
202401010102,2024年07月20日,札幌,1回1日目,3歳未勝利,[指](馬齢),11,1,1,ロマンスヒコー,牡,3,57.0,大野拓弥,1:01.4,1.1/4,9-9,36.3,172.5,12.0,444(-8),,ダ,1000m,晴,良
202401010102,2024年07月20日,札幌,1回1日目,3歳未勝利,[指](馬齢),12,5,5,タイセイフォルテ,牡,3,57.0,横山武史,1:01.8,2.1/2,11-11,36.5,5.7,3.0,486(0),,ダ,1000m,晴,良
202401010103,2024年07月20日,札幌,1回1日目,3歳未勝利,[指](馬齢),1,3,4,メイショウソムリエ,牡,3,57.0,武豊,1:46.9,,3-3-3-2,38.5,3.6,2.0,522(+14),550.0,ダ,1700m,晴,良
202401010103,2024年07月20日,札幌,1回1日目,3歳未勝利,[指](馬齢),2,5,7,リアルペガサス,牡,3,57.0,菱田裕二,1:47.6,4,10-10-8-7,38.6,10.0,6.0,456(0),220.0,ダ,1700m,晴,良
202401010103,2024年07月20日,札幌,1回1日目,3歳未勝利,[指](馬齢),3,4,6,クラウンクーロン,牡,3,57.0,丹内祐次,1:47.8,1.1/4,1-1-1-1,39.7,6.8,4.0,442(-6),140.0,ダ,1700m,晴,良
202401010103,2024年07月20日,札幌,1回1日目,3歳未勝利,[指](馬齢),4,3,3,エナアニマル,牡,3,57.0,横山和生,1:47.8,アタマ,12-12-10-9,38.5,9.7,5.0,450(+8),83.0,ダ,1700m,晴,良
202401010103,2024年07月20日,札幌,1回1日目,3歳未勝利,[指](馬齢),5,1,1,ハテナビト,牡,3,54.0,長浜鴻緒,1:48.1,1.3/4,6-6-6-5,39.2,31.9,7.0,462(-4),55.0,ダ,1700m,晴,良
202401010103,2024年07月20日,札幌,1回1日目,3歳未勝利,[指](馬齢),6,6,9,ポップスター,牡,3,57.0,武藤雅,1:48.3,1.1/4,14-14-14-14,38.1,214.5,12.0,510(-10),,ダ,1700m,晴,良
202401010103,2024年07月20日,札幌,1回1日目,3歳未勝利,[指](馬齢),7,8,14,ナムラミック,牡,3,57.0,鮫島克駿,1:48.7,2,8-9-6-7,39.9,106.0,10.0,484(+4),,ダ,1700m,晴,良
202401010103,2024年07月20日,札幌,1回1日目,3歳未勝利,[指](馬齢),8,4,5,ニースライト,牝,3,55.0,柴田善臣,1:48.7,クビ,10-10-10-10,39.3,80.5,9.0,472(-4),,ダ,1700m,晴,良
202401010103,2024年07月20日,札幌,1回1日目,3歳未勝利,[指](馬齢),9,2,2,ワカミヤノミコト,牡,3,54.0,小林勝太,1:48.8,3/4,12-13-13-11,39.0,257.8,13.0,472(0),,ダ,1700m,晴,良
202401010103,2024年07月20日,札幌,1回1日目,3歳未勝利,[指](馬齢),10,5,8,スターゲット,牡,3,57.0,横山武史,1:49.3,3,2-2-2-2,41.1,2.5,1.0,458(0),,ダ,1700m,晴,良
202401010103,2024年07月20日,札幌,1回1日目,3歳未勝利,[指](馬齢),11,7,11,プラチナバンド,牡,3,57.0,永野猛蔵,1:49.4,1/2,3-3-5-5,40.9,59.8,8.0,506(-2),,ダ,1700m,晴,良
202401010103,2024年07月20日,札幌,1回1日目,3歳未勝利,[指](馬齢),12,8,13,クリノアイリス,牝,3,55.0,古川吉洋,1:49.5,3/4,9-8-10-12,40.2,333.6,14.0,444(-12),,ダ,1700m,晴,良
202401010103,2024年07月20日,札幌,1回1日目,3歳未勝利,[指](馬齢),13,6,10,アオレレ,牡,3,57.0,佐々木大,1:50.2,4,6-6-9-12,41.1,140.2,11.0,430(-2),,ダ,1700m,晴,良
202401010103,2024年07月20日,札幌,1回1日目,3歳未勝利,[指](馬齢),14,7,12,ミッキースターダム,牡,3,57.0,浜中俊,1:50.4,3/4,3-5-3-4,42.0,6.8,3.0,450(-6),,ダ,1700m,晴,良
202401010104,2024年07月20日,札幌,1回1日目,3歳未勝利,牝[指](馬齢),1,5,8,アリーバ,牝,3,55.0,浜中俊,1:28.6,,10-10-4,34.4,5.0,4.0,424(+6),550.0,芝,1500m,晴,良
202401010104,2024年07月20日,札幌,1回1日目,3歳未勝利,牝[指](馬齢),2,3,4,カーモス,牝,3,52.0,長浜鴻緒,1:28.6,クビ,2-2-2,34.9,40.4,11.0,428(+2),220.0,芝,1500m,晴,良
202401010104,2024年07月20日,札幌,1回1日目,3歳未勝利,牝[指](馬齢),3,6,10,ユメカウツツカ,牝,3,52.0,小林勝太,1:28.7,1/2,11-13-7,34.3,28.2,9.0,392(+10),140.0,芝,1500m,晴,良
202401010104,2024年07月20日,札幌,1回1日目,3歳未勝利,牝[指](馬齢),4,4,5,アウストラリス,牝,3,54.0,角田大河,1:28.9,1.1/4,5-4-4,35.1,22.8,8.0,422(-4),83.0,芝,1500m,晴,良
202401010104,2024年07月20日,札幌,1回1日目,3歳未勝利,牝[指](馬齢),5,4,6,ツキガキレイデスネ,牝,3,55.0,永野猛蔵,1:29.0,1/2,11-11-12,34.7,18.2,7.0,456(+4),55.0,芝,1500m,晴,良
202401010104,2024年07月20日,札幌,1回1日目,3歳未勝利,牝[指](馬齢),6,8,14,ディアアリーチェ,牝,3,55.0,鮫島克駿,1:29.1,1/2,5-7-10,35.0,4.3,1.0,450(-4),,芝,1500m,晴,良
202401010104,2024年07月20日,札幌,1回1日目,3歳未勝利,牝[指](馬齢),7,5,7,タイプフェイス,牝,3,55.0,大野拓弥,1:29.1,ハナ,13-11-12,34.8,39.3,10.0,442(+8),,芝,1500m,晴,良
202401010104,2024年07月20日,札幌,1回1日目,3歳未勝利,牝[指](馬齢),8,6,9,カウネウス,牝,3,55.0,丹内祐次,1:29.1,ハナ,14-14-12,34.5,18.2,6.0,446(+2),,芝,1500m,晴,良
202401010104,2024年07月20日,札幌,1回1日目,3歳未勝利,牝[指](馬齢),9,7,11,セントオブシン,牝,3,55.0,亀田温心,1:29.2,クビ,8-7-7,35.2,53.5,12.0,426(-4),,芝,1500m,晴,良
202401010104,2024年07月20日,札幌,1回1日目,3歳未勝利,牝[指](馬齢),10,8,13,ラーリア,牝,3,55.0,横山武史,1:29.2,アタマ,4-4-4,35.4,4.8,3.0,396(-6),,芝,1500m,晴,良
202401010104,2024年07月20日,札幌,1回1日目,3歳未勝利,牝[指](馬齢),11,2,2,チャルドーニ,牝,3,55.0,富田暁,1:29.3,3/4,2-2-2,35.7,4.4,2.0,464(-2),,芝,1500m,晴,良
202401010104,2024年07月20日,札幌,1回1日目,3歳未勝利,牝[指](馬齢),12,7,12,ウーロン,牝,3,55.0,横山和生,1:29.8,3,1-1-1,36.3,8.5,5.0,480(+10),,芝,1500m,晴,良
202401010104,2024年07月20日,札幌,1回1日目,3歳未勝利,牝[指](馬齢),13,3,3,シャイニーマンボ,牝,3,52.0,川端海翼,1:29.9,クビ,8-7-10,35.9,166.7,14.0,470(+22),,芝,1500m,晴,良
202401010104,2024年07月20日,札幌,1回1日目,3歳未勝利,牝[指](馬齢),14,1,1,アオイフォール,牝,3,55.0,小林凌大,1:31.1,7,5-4-7,37.3,104.7,13.0,454(-4),,芝,1500m,晴,良
202401010105,2024年07月20日,札幌,1回1日目,2歳新馬,(混)[指](馬齢),1,3,4,ナチュラルライズ,牡,2,55.0,横山武史,1:45.7,,4-4-4-2,36.9,3.0,1.0,476(0),720.0,ダ,1700m,晴,良
202401010105,2024年07月20日,札幌,1回1日目,2歳新馬,(混)[指](馬齢),2,6,10,ベルベルコンパス,牡,2,55.0,北村友一,1:46.7,6,1-1-1-1,38.3,5.3,3.0,522(0),290.0,ダ,1700m,晴,良
202401010105,2024年07月20日,札幌,1回1日目,2歳新馬,(混)[指](馬齢),3,1,1,ジーティートゥルー,牡,2,55.0,大野拓弥,1:49.0,大,9-10-10-7,39.0,21.5,8.0,452(0),180.0,ダ,1700m,晴,良
202401010105,2024年07月20日,札幌,1回1日目,2歳新馬,(混)[指](馬齢),4,2,2,ソラノキャンバス,牡,2,52.0,長浜鴻緒,1:49.0,クビ,11-11-10-8,39.0,46.3,10.0,430(0),110.0,ダ,1700m,晴,良
202401010105,2024年07月20日,札幌,1回1日目,2歳新馬,(混)[指](馬齢),5,4,5,アローオブライト,牡,2,55.0,藤岡佑介,1:49.3,1.1/2,14-14-12-10,39.1,14.4,7.0,468(0),72.0,ダ,1700m,晴,良
202401010105,2024年07月20日,札幌,1回1日目,2歳新馬,(混)[指](馬齢),6,4,6,モレポブラーノ,牡,2,55.0,鮫島克駿,1:49.5,1.1/2,2-2-2-3,41.0,9.2,5.0,516(0),,ダ,1700m,晴,良
202401010105,2024年07月20日,札幌,1回1日目,2歳新馬,(混)[指](馬齢),7,6,9,ハヤテノツバサ,牡,2,55.0,永野猛蔵,1:49.9,2.1/2,7-6-7-6,40.6,11.6,6.0,496(0),,ダ,1700m,晴,良
202401010105,2024年07月20日,札幌,1回1日目,2歳新馬,(混)[指](馬齢),8,5,7,ヴァカンツァ,牝,2,54.0,角田大河,1:50.3,2,9-8-5-5,41.3,66.7,12.0,480(0),,ダ,1700m,晴,良
202401010105,2024年07月20日,札幌,1回1日目,2歳新馬,(混)[指](馬齢),9,8,13,イフウドウドウ,牡,2,55.0,武豊,1:50.5,1.1/2,2-2-2-4,41.9,5.3,2.0,516(0),,ダ,1700m,晴,良
202401010105,2024年07月20日,札幌,1回1日目,2歳新馬,(混)[指](馬齢),10,7,11,プライベートアイズ,牡,2,55.0,横山和生,1:50.9,2.1/2,6-4-5-8,41.8,7.4,4.0,496(0),,ダ,1700m,晴,良
202401010105,2024年07月20日,札幌,1回1日目,2歳新馬,(混)[指](馬齢),11,7,12,コパノキュラソー,牡,2,55.0,古川吉洋,1:51.0,クビ,8-8-8-10,41.4,136.6,14.0,508(0),,ダ,1700m,晴,良
202401010105,2024年07月20日,札幌,1回1日目,2歳新馬,(混)[指](馬齢),12,8,14,キタノチャンス,牝,2,55.0,黛弘人,1:52.6,10,13-12-12-12,42.4,133.0,13.0,472(0),,ダ,1700m,晴,良
202401010105,2024年07月20日,札幌,1回1日目,2歳新馬,(混)[指](馬齢),13,5,8,ガストフロント,牡,2,55.0,武藤雅,1:53.4,5,4-6-9-13,43.5,51.3,11.0,442(0),,ダ,1700m,晴,良
202401010105,2024年07月20日,札幌,1回1日目,2歳新馬,(混)[指](馬齢),14,3,3,ガイラルディア,牝,2,55.0,池添謙一,1:55.5,大,12-13-14-14,43.9,36.4,9.0,456(0),,ダ,1700m,晴,良
202401010106,2024年07月20日,札幌,1回1日目,3歳未勝利,(混)[指](馬齢),1,7,12,オメガインペリアル,牡,3,57.0,藤岡佑介,1:48.7,,2-3-4-5,35.1,2.3,1.0,460(+4),550.0,芝,1800m,晴,良
202401010106,2024年07月20日,札幌,1回1日目,3歳未勝利,(混)[指](馬齢),2,1,1,マイネルバーテクス,牡,3,57.0,丹内祐次,1:49.0,2,7-7-6-7,35.2,4.9,2.0,484(-14),220.0,芝,1800m,晴,良
202401010106,2024年07月20日,札幌,1回1日目,3歳未勝利,(混)[指](馬齢),3,4,5,サトノアライヴ,牡,3,57.0,佐々木大,1:49.1,クビ,13-14-10-7,35.1,32.6,9.0,436(0),140.0,芝,1800m,晴,良
202401010106,2024年07月20日,札幌,1回1日目,3歳未勝利,(混)[指](馬齢),4,2,2,モズイージス,牡,3,57.0,岩田康誠,1:49.3,1.1/4,4-5-6-7,35.6,10.1,4.0,462(-2),83.0,芝,1800m,晴,良
202401010106,2024年07月20日,札幌,1回1日目,3歳未勝利,(混)[指](馬齢),5,6,9,マリエッティ,牝,3,52.0,川端海翼,1:49.4,1/2,4-3-2-1,36.1,14.1,7.0,424(+8),55.0,芝,1800m,晴,良
202401010106,2024年07月20日,札幌,1回1日目,3歳未勝利,(混)[指](馬齢),6,4,6,テイクノーティス,牡,3,57.0,横山和生,1:49.5,1/2,13-12-6-5,35.8,10.4,5.0,446(+6),,芝,1800m,晴,良
202401010106,2024年07月20日,札幌,1回1日目,3歳未勝利,(混)[指](馬齢),7,8,14,ゴールデンスロープ,牡,3,54.0,長浜鴻緒,1:49.5,クビ,2-2-2-2,36.2,59.2,10.0,428(-2),,芝,1800m,晴,良
202401010106,2024年07月20日,札幌,1回1日目,3歳未勝利,(混)[指](馬齢),8,5,7,キングブルー,牡,3,57.0,菱田裕二,1:49.6,1/2,6-5-6-7,35.8,21.0,8.0,480(0),,芝,1800m,晴,良
202401010106,2024年07月20日,札幌,1回1日目,3歳未勝利,(混)[指](馬齢),9,3,3,グローリアミノル,牡,3,57.0,大野拓弥,1:49.7,1/2,11-9-4-2,36.1,6.8,3.0,456(-4),,芝,1800m,晴,良
202401010106,2024年07月20日,札幌,1回1日目,3歳未勝利,(混)[指](馬齢),10,6,10,アイビーブリッツ,牡,3,56.0,角田大河,1:50.0,1.1/2,9-9-10-11,35.9,10.9,6.0,444(0),,芝,1800m,晴,良
202401010106,2024年07月20日,札幌,1回1日目,3歳未勝利,(混)[指](馬齢),11,5,8,グランドフューチャ,牡,3,54.0,小林勝太,1:50.6,3.1/2,7-7-10-11,36.6,152.9,12.0,470(0),,芝,1800m,晴,良
202401010106,2024年07月20日,札幌,1回1日目,3歳未勝利,(混)[指](馬齢),12,3,4,ライムストリート,牡,3,57.0,古川吉洋,1:50.8,1.1/2,11-12-14-14,36.4,312.1,14.0,474(-12),,芝,1800m,晴,良
202401010106,2024年07月20日,札幌,1回1日目,3歳未勝利,(混)[指](馬齢),13,8,13,ダンツタロン,牡,3,57.0,柴田善臣,1:51.4,3.1/2,1-1-1-2,38.1,143.7,11.0,482(-4),,芝,1800m,晴,良
202401010106,2024年07月20日,札幌,1回1日目,3歳未勝利,(混)[指](馬齢),14,7,11,クリノタンザナイト,牡,3,57.0,亀田温心,1:51.5,1/2,10-9-10-13,37.5,244.8,13.0,458(+2),,芝,1800m,晴,良
202401010107,2024年07月20日,札幌,1回1日目,3歳以上1勝クラス,[指](定量),1,3,3,バシレウスシチー,牡,5,58.0,菱田裕二,1:08.7,,5-4,34.6,5.2,4.0,446(-6),800.0,芝,1200m,晴,良
202401010107,2024年07月20日,札幌,1回1日目,3歳以上1勝クラス,[指](定量),2,7,8,ハレアカラフラ,牝,4,56.0,武豊,1:08.8,1/2,1-1,35.3,4.8,3.0,478(+20),320.0,芝,1200m,晴,良
202401010107,2024年07月20日,札幌,1回1日目,3歳以上1勝クラス,[指](定量),3,4,4,ソングフォーユー,牝,5,56.0,大野拓弥,1:09.0,1.1/4,3-4,35.2,17.4,6.0,462(+2),200.0,芝,1200m,晴,良
202401010107,2024年07月20日,札幌,1回1日目,3歳以上1勝クラス,[指](定量),4,8,10,アポロルタ,牝,5,53.0,小林勝太,1:09.1,3/4,10-11,34.6,29.2,10.0,450(-2),120.0,芝,1200m,晴,良
202401010107,2024年07月20日,札幌,1回1日目,3歳以上1勝クラス,[指](定量),5,6,6,シアター,牝,3,53.0,鮫島克駿,1:09.1,クビ,7-6,34.8,3.5,1.0,432(0),80.0,芝,1200m,晴,良
202401010107,2024年07月20日,札幌,1回1日目,3歳以上1勝クラス,[指](定量),6,2,2,ゴルデールスカー,牡,4,58.0,池添謙一,1:09.2,3/4,11-9,34.6,104.4,11.0,468(-4),,芝,1200m,晴,良
202401010107,2024年07月20日,札幌,1回1日目,3歳以上1勝クラス,[指](定量),7,6,7,セイウンサニー,牝,3,53.0,永野猛蔵,1:09.2,ハナ,7-6,34.9,18.4,7.0,448(-4),,芝,1200m,晴,良
202401010107,2024年07月20日,札幌,1回1日目,3歳以上1勝クラス,[指](定量),8,1,1,サンポーニャ,牝,4,53.0,長浜鴻緒,1:09.3,クビ,5-6,35.2,4.5,2.0,450(+16),,芝,1200m,晴,良
202401010107,2024年07月20日,札幌,1回1日目,3歳以上1勝クラス,[指](定量),9,5,5,ペプチドシュチク,牡,3,55.0,富田暁,1:09.3,クビ,2-2,35.6,9.1,5.0,488(+4),,芝,1200m,晴,良
202401010107,2024年07月20日,札幌,1回1日目,3歳以上1勝クラス,[指](定量),10,8,11,シルバーダイヤ,牝,4,55.0,角田大河,1:09.4,クビ,3-2,35.6,21.3,8.0,454(-4),,芝,1200m,晴,良
202401010107,2024年07月20日,札幌,1回1日目,3歳以上1勝クラス,[指](定量),11,7,9,セイウンティーダ,牝,3,53.0,丹内祐次,1:09.6,1.1/4,7-9,35.2,22.8,9.0,430(+14),,芝,1200m,晴,良
202401010108,2024年07月20日,札幌,1回1日目,3歳以上1勝クラス,牝[指](定量),1,8,8,リフレクトザムーン,牝,3,50.0,小林勝太,1:46.5,,2-3-2-1,39.1,6.8,4.0,446(-12),800.0,ダ,1700m,晴,良
202401010108,2024年07月20日,札幌,1回1日目,3歳以上1勝クラス,牝[指](定量),2,7,7,フェルンマンボ,牝,5,56.0,横山武史,1:46.8,2,6-6-6-5,39.0,3.7,3.0,474(+4),320.0,ダ,1700m,晴,良
202401010108,2024年07月20日,札幌,1回1日目,3歳以上1勝クラス,牝[指](定量),3,6,6,イッツオンリーユー,牝,4,56.0,佐々木大,1:46.9,クビ,4-4-4-4,39.4,3.5,2.0,474(0),200.0,ダ,1700m,晴,良
202401010108,2024年07月20日,札幌,1回1日目,3歳以上1勝クラス,牝[指](定量),4,2,2,タマモプルメリア,牝,3,52.0,角田大河,1:47.8,5,2-2-1-2,40.5,2.6,1.0,450(-4),120.0,ダ,1700m,晴,良
202401010108,2024年07月20日,札幌,1回1日目,3歳以上1勝クラス,牝[指](定量),5,5,5,ドレミファニー,牝,4,56.0,横山和生,1:48.3,3,7-7-4-2,40.8,18.8,6.0,512(+12),80.0,ダ,1700m,晴,良
202401010108,2024年07月20日,札幌,1回1日目,3歳以上1勝クラス,牝[指](定量),6,8,9,チョッピー,牝,5,56.0,永野猛蔵,1:48.4,1/2,9-9-7-6,40.5,28.8,7.0,470(+4),,ダ,1700m,晴,良
202401010108,2024年07月20日,札幌,1回1日目,3歳以上1勝クラス,牝[指](定量),7,4,4,シュライフェ,牝,4,56.0,黛弘人,1:49.7,8,7-7-9-8,41.3,87.9,9.0,498(+12),,ダ,1700m,晴,良
202401010108,2024年07月20日,札幌,1回1日目,3歳以上1勝クラス,牝[指](定量),8,1,1,ポマール,牝,3,53.0,丹内祐次,1:50.2,3,1-1-2-7,42.8,39.6,8.0,452(+4),,ダ,1700m,晴,良
202401010108,2024年07月20日,札幌,1回1日目,3歳以上1勝クラス,牝[指](定量),9,3,3,アイスリンディ,牝,3,53.0,亀田温心,1:51.7,9,4-4-8-9,43.6,17.7,5.0,446(-8),,ダ,1700m,晴,良
202401010109,2024年07月20日,札幌,1回1日目,3歳以上1勝クラス,(混)[指](定量),1,5,5,ミヤビブレイブ,牝,4,56.0,横山和生,1:47.4,,10-10-1-1,35.4,17.1,6.0,468(-4),"1,135.9",芝,1800m,晴,良
202401010109,2024年07月20日,札幌,1回1日目,3歳以上1勝クラス,(混)[指](定量),2,7,8,セイウンパシュート,牡,4,58.0,永野猛蔵,1:47.6,1.1/4,5-5-5-6,35.1,5.0,3.0,470(-4),447.4,芝,1800m,晴,良
202401010109,2024年07月20日,札幌,1回1日目,3歳以上1勝クラス,(混)[指](定量),3,6,6,アドミラルシップ,牡,3,55.0,武豊,1:47.7,クビ,2-2-2-2,35.6,2.7,1.0,472(+12),283.7,芝,1800m,晴,良
202401010109,2024年07月20日,札幌,1回1日目,3歳以上1勝クラス,(混)[指](定量),4,2,2,マイバラード,牡,4,58.0,丹内祐次,1:47.9,1.1/2,8-8-8-6,35.2,22.4,7.0,468(0),170.0,芝,1800m,晴,良
202401010109,2024年07月20日,札幌,1回1日目,3歳以上1勝クラス,(混)[指](定量),5,8,9,スノーブリザード,牡,3,55.0,鮫島克駿,1:48.2,1.3/4,1-1-3-3,36.0,49.0,8.0,494(-6),111.0,芝,1800m,晴,良
202401010109,2024年07月20日,札幌,1回1日目,3歳以上1勝クラス,(混)[指](定量),6,1,1,バロックダンス,牝,4,56.0,大野拓弥,1:48.2,ハナ,5-7-8-8,35.5,81.2,9.0,472(+3),,芝,1800m,晴,良
202401010109,2024年07月20日,札幌,1回1日目,3歳以上1勝クラス,(混)[指](定量),7,7,7,ユイノオトコヤマ,牡,4,58.0,黛弘人,1:48.3,3/4,9-8-5-3,35.8,138.2,10.0,470(0),,芝,1800m,晴,良
202401010109,2024年07月20日,札幌,1回1日目,3歳以上1勝クラス,(混)[指](定量),8,3,3,ヴァルドルチャ,牡,3,55.0,北村友一,1:48.9,3.1/2,5-5-8-9,36.2,7.8,5.0,446(0),,芝,1800m,晴,良
202401010109,2024年07月20日,札幌,1回1日目,3歳以上1勝クラス,(混)[指](定量),9,8,10,シルバーカレッジ,牡,3,55.0,浜中俊,1:48.9,アタマ,4-3-3-3,36.6,7.6,4.0,494(-6),,芝,1800m,晴,良
202401010109,2024年07月20日,札幌,1回1日目,3歳以上1勝クラス,(混)[指](定量),10,4,4,ブルーアイドガール,牝,3,53.0,藤岡佑介,2:00.2,大,2-3-5-10,47.7,3.5,2.0,442(+2),,芝,1800m,晴,良
202401010110,2024年07月20日,札幌,1回1日目,3歳以上2勝クラス,(混)(特指)(定量),1,3,3,ナックイルシーブ,牡,6,58.0,大野拓弥,1:59.6,,6-5-5-4,35.4,18.2,6.0,516(0),"1,578.0",芝,2000m,晴,良
202401010110,2024年07月20日,札幌,1回1日目,3歳以上2勝クラス,(混)(特指)(定量),2,6,9,ブラックヴァール,牝,4,56.0,横山和生,1:59.6,アタマ,3-3-2-3,35.7,5.4,4.0,450(-6),628.0,芝,2000m,晴,良
202401010110,2024年07月20日,札幌,1回1日目,3歳以上2勝クラス,(混)(特指)(定量),3,8,12,ギャンブルルーム,牡,3,55.0,鮫島克駿,1:59.7,1/2,8-8-7-7,35.2,4.3,2.0,496(+10),394.0,芝,2000m,晴,良
202401010110,2024年07月20日,札幌,1回1日目,3歳以上2勝クラス,(混)(特指)(定量),4,8,13,ドラゴンヘッド,牡,4,58.0,武藤雅,1:59.7,ハナ,10-10-11-10,34.9,22.3,7.0,452(+6),230.0,芝,2000m,晴,良
202401010110,2024年07月20日,札幌,1回1日目,3歳以上2勝クラス,(混)(特指)(定量),5,7,10,シャドウソニック,牡,4,58.0,北村友一,1:59.9,1.1/2,13-12-12-11,35.0,51.2,8.0,494(-14),155.0,芝,2000m,晴,良
202401010110,2024年07月20日,札幌,1回1日目,3歳以上2勝クラス,(混)(特指)(定量),6,1,1,リミットバスター,牡,4,58.0,横山武史,1:59.9,ハナ,4-5-5-4,35.7,4.4,3.0,512(+4),,芝,2000m,晴,良
202401010110,2024年07月20日,札幌,1回1日目,3歳以上2勝クラス,(混)(特指)(定量),7,2,2,マイノワール,牡,3,55.0,武豊,2:00.0,1/2,11-11-10-8,35.3,3.1,1.0,478(-6),,芝,2000m,晴,良
202401010110,2024年07月20日,札幌,1回1日目,3歳以上2勝クラス,(混)(特指)(定量),8,5,7,ホウオウプレミア,牡,5,58.0,岩田康誠,2:00.0,ハナ,2-2-2-2,36.1,9.5,5.0,480(-8),,芝,2000m,晴,良
202401010110,2024年07月20日,札幌,1回1日目,3歳以上2勝クラス,(混)(特指)(定量),9,6,8,タイラーテソーロ,牡,5,58.0,丹内祐次,2:00.2,1,12-13-13-13,35.0,102.9,13.0,474(0),,芝,2000m,晴,良
202401010110,2024年07月20日,札幌,1回1日目,3歳以上2勝クラス,(混)(特指)(定量),10,7,11,キングロコマイカイ,牡,5,58.0,角田大河,2:00.6,2.1/2,9-8-7-8,36.1,63.4,11.0,508(+14),,芝,2000m,晴,良
202401010110,2024年07月20日,札幌,1回1日目,3歳以上2勝クラス,(混)(特指)(定量),11,4,4,バンフィエルド,牡,5,58.0,佐々木大,2:01.3,4,6-7-7-11,36.9,73.3,12.0,430(-4),,芝,2000m,晴,良
202401010110,2024年07月20日,札幌,1回1日目,3歳以上2勝クラス,(混)(特指)(定量),12,4,5,スプリングノヴァ,牝,3,53.0,亀田温心,2:01.6,1.3/4,4-3-4-6,37.6,60.7,9.0,402(-4),,芝,2000m,晴,良
